['BTOW3.SA', 'SULA11.SA', 'CVCB3.SA', 'GOLL4.SA', 'COGN3.SA', 'BBDC4.SA', 'CYRE3.SA', 'GGBR4.SA', 'VALE3.SA']
['BTOW3.SA', 'GOLL4.SA', 'CVCB3.SA', 'SULA11.SA', 'COGN3.SA', 'VALE3.SA', 'CYRE3.SA', 'BBDC4.SA', 'GGBR4.SA']
['GOLL4.SA', 'BTOW3.SA', 'CVCB3.SA', 'COGN3.SA', 'SULA11.SA', 'MULT3.SA', 'CYRE3.SA', 'GGBR4.SA', 'IGTA3.SA']
['GOLL4.SA', 'CVCB3.SA', 'BTOW3.SA', 'SULA11.SA', 'COGN3.SA', 'VALE3.SA', 'GGBR4.SA', 'FLRY3.SA', 'BBDC4.SA']
['SULA11.SA', 'BTOW3.SA', 'VALE3.SA', 'GOLL4.SA', 'CVCB3.SA', 'GGBR4.SA', 'COGN3.SA', 'FLRY3.SA', 'BRFS3.SA']
['BTOW3.SA', 'SULA11.SA', 'VALE3.SA', 'CVCB3.SA', 'GGBR4.SA', 'COGN3.SA', 'BBDC4.SA', 'FLRY3.SA', 'LREN3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'VALE3.SA', 'BBDC4.SA', 'COGN3.SA', 'SANB11.SA', 'LREN3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'BBDC4.SA', 'COGN3.SA', 'VALE3.SA', 'KLBN11.SA', 'UGPA3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'BBDC4.SA', 'KLBN11.SA', 'UGPA3.SA', 'LREN3.SA', 'ITUB4.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'KLBN11.SA', 'CVCB3.SA', 'CSNA3.SA', 'UGPA3.SA', 'VALE3.SA', 'BBDC4.SA']
